Product Code:,Animal Species,Establishment Code,Establishment Name,Subsidiaries,Product True Name,Agent(s):,Trade Name(s):,Distributor(s):,Usage,Dosage_and_TimePeriod,Dosage_Source_Reference,Usage_Improved
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7755"">164100</a>",Chicken,190,Zoetis Inc.,Not Applicable,"Marek's Disease Vaccine, Serotype 3, Live Virus","Herpesvirus, Turkey [Mareks, Serotype 3]",MD-Vac,No distributor specified,"A vaccine for chickens that helps protect against herpesvirus, turkey [mareks, serotype 3].",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for chickens that helps protect against herpesvirus, turkey [mareks, serotype 3]."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7754"">12m540</a>",Chicken,190,Zoetis Inc.,Not Applicable,"Bursal Disease-Newcastle Disease-Bronchitis-Reovirus Vaccine, Killed Virus","Bursal Disease (Birnavirus, Avian); Coronavirus, Chicken (Bronchitis); Paramyxovirus, Avian (Newcastle); Reovirus, Avian (Unspecified Syndrome)",Pro Vac 4; Provac 4,Zoetis Import Egypt; Zoetis (Thailand) Limited; Zoetis India Limited; Zoetis Panama,"A vaccine for chickens that helps protect against bursal disease (birnavirus, avian); coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle); reovirus, avian (unspecified syndrome).","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against bursal disease (birnavirus, avian); coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle); reovirus, avian (unspecified syndrome)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7744"">177111</a>",Chicken,190,Zoetis Inc.,Not Applicable,"Newcastle-Bronchitis Vaccine, B1 Type, LaSota Strain, Mass Type, Live Virus","Coronavirus, Chicken (Bronchitis); Paramyxovirus, Avian (Newcastle)",Newcastle LaSota + Bron Mass,Zoetis Colombia S.A.S.; Zoetis Mexico,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle).","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7695"">19K5R9</a>",Swine,124,Boehringer Ingelheim Animal Health USA Inc.,Not Applicable,"Porcine Circovirus Vaccine, Type 2, Killed Baculovirus Vector","Circovirus, Porcine, Type 2",Ingelvac CircoFLEX AD,No distributor specified,"A vaccine for swines that helps protect against circovirus, porcine, type 2.",Administer 1 mL intramuscularly (IM) or as specified on label; many labels call for a single 1 mL dose at 3 weeks of age or older.,"Boehringer-Ingelheim / Merck product inserts (Circumvent, d-FENSE).","A vaccine for swines that helps protect against circovirus, porcine, type 2."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7683"">95A750</a>",Canine,691,"ELIAS Animal Health, LLC",Not Applicable,Autologous Prescription Product,"Cancer, Type Not Specified, No Species",No trade name assigned,No distributor specified,"This product is used in canines to help prevent or protect against diseases caused by cancer, type not specified, no species.",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"This product is used in canines to help prevent or protect against diseases caused by cancer, type not specified, no species."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7662"">1R00R1</a>",Rabbit,474,Medgene Labs,Not Applicable,"Rabbit Hemorrhagic Disease Vaccine, Serotype 2, Killed Baculovirus Vector","Calicivirus, Rabbit (Rabbit Hemorrhagic Disease)",No trade name assigned,No distributor specified,"A vaccine for rabbits that helps protect against calicivirus, rabbit (rabbit hemorrhagic disease).",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for rabbits that helps protect against calicivirus, rabbit (rabbit hemorrhagic disease)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7661"">2B05R1</a>",Canine,190,Zoetis Inc.,Not Applicable,"Bordetella Bronchiseptica Bacterial Extract, Subunit",Bordetella bronchiseptica,Vanguard Recombishield Injectable Bordetella,No distributor specified,This product is used in canines to help prevent or protect against diseases caused by bordetella bronchiseptica.,Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,This product is used in canines to help prevent or protect against diseases caused by bordetella bronchiseptica.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7588"">9PP002</a>",Swine,165A,Intervet Inc.,Merck Animal Heath,"Prescription Product, RNA Particle",No Agent,No trade name assigned,No distributor specified,This product is used in swines to help prevent or protect against diseases caused by no agent.,Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,This product is used in swines to help prevent or protect against diseases caused by no agent.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7569"">19A5RD</a>",Swine,165A,Intervet Inc.,Merck Animal Health,"Swine Influenza Vaccine, H1, RNA Particle","Influenza Virus, Swine, H1",No trade name assigned,No distributor specified,"A vaccine for swines that helps protect against influenza virus, swine, h1.",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"Indicated for the vaccination of healthy swine as an aid in preventing disease caused by swine influenza A virus (IAV‑S), H1 subtype. Use in pigs per label directions as part of a herd influenza control program; consult a veterinarian for timing relative to herd risk, gilt/sow immunization, and pig flow."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7350"">789001</a>",Swine,190,Zoetis Inc.,Not Applicable,Clostridium Perfringens Type C-Escherichia Coli Bacterin-Toxoid,Clostridium perfringens Type C; Escherichia coli (Non-J5),LitterGuard,No distributor specified,A bacterin for swines that provides immunity against clostridium perfringens type c; escherichia coli (non-j5).,Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,A bacterin for swines that provides immunity against clostridium perfringens type c; escherichia coli (non-j5).
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7332"">4X59R1</a>",Bovine,196,Elanco US Inc.,Elanco US Inc.,"Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Vaccine, Modified Live Virus, Mannheimia Haemolytica Bacterial Extract-Toxoid","Mannheimia (Pasteurella) haemolytica; Bovine Virus Diarrhea Virus (Untyped); Herpesvirus, Bovine (IBR); Parainfluenza 3 Virus, Bovine; Respiratory Syncytial Virus, Bovine",Nuplura PH + 5,No distributor specified,"A vaccine for bovines that helps protect against mannheimia (pasteurella) haemolytica; bovine virus diarrhea virus (untyped); herpesvirus, bovine (ibr); parainfluenza 3 virus, bovine; respiratory syncytial virus, bovine.","Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).","A vaccine for bovines that helps protect against mannheimia (pasteurella) haemolytica; bovine virus diarrhea virus (untyped); herpesvirus, bovine (ibr); parainfluenza 3 virus, bovine; respiratory syncytial virus, bovine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7327"">1555R8</a>",Feline,165A,Intervet Inc.,Merck Animal Health,"Feline Leukemia Vaccine, RNA Particle",Feline Leukemia Virus,Nobivac NXT FeLV,No distributor specified,A vaccine for felines that helps protect against feline leukemia virus.,Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,A vaccine for felines that helps protect against feline leukemia virus.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7295"">15152B</a>",Equine,124,Boehringer Ingelheim Animal Health USA Inc,Not Applicable,"Equine Rhinopneumonitis-Influenza Vaccine, Killed Virus","Herpesvirus, Equine (Rhinopneumonitis, Untyped); Influenza Virus, Equine",Calvenza-03 EIV/EHV,No distributor specified,"A vaccine for equines that helps protect against herpesvirus, equine (rhinopneumonitis, untyped); influenza virus, equine.",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for equines that helps protect against herpesvirus, equine (rhinopneumonitis, untyped); influenza virus, equine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7294"">150529</a>",Equine,124,Boehringer Ingelheim Animal Health USA Inc,Not Applicable,"Equine Influenza Vaccine, Killed Virus","Influenza Virus, Equine",Calvenza-03 EIV,No distributor specified,"A vaccine for equines that helps protect against influenza virus, equine.",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for equines that helps protect against influenza virus, equine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7269"">266500</a>",Bovine; Swine,213,"Diamond Animal Health, Inc.","Diamond Animal Health, Inc.",Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin,Leptospira canicola; Leptospira grippotyphosa; Leptospira hardjo; Leptospira icterohaemorrhagiae; Leptospira pomona,Bayovac Lepto 5; Lepto 5; Lepto 5 HB,"Bayer de Mexico, S.A. de C.V.; Elanco Animal Heath",A bacterin for bovine; swines that provides immunity against leptospira canicola; leptospira grippotyphosa; leptospira hardjo; leptospira icterohaemorrhagiae; leptospira pomona.,"Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).",A bacterin for bovine; swines that provides immunity against leptospira canicola; leptospira grippotyphosa; leptospira hardjo; leptospira icterohaemorrhagiae; leptospira pomona.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7268"">11A120</a>",Bovine,213,"Diamond Animal Health, Inc.","Diamond Animal Health, Inc.","Bovine Rhinotracheitis-Virus Diarrhea-Respiratory Syncytial Virus Vaccine, Modified Live Virus","Bovine Virus Diarrhea Virus (Untyped); Herpesvirus, Bovine (IBR); Respiratory Syncytial Virus, Bovine",Titanium 3+BRSV,"Agri Laboratories, Ltd.","A vaccine for bovines that helps protect against bovine virus diarrhea virus (untyped); herpesvirus, bovine (ibr); respiratory syncytial virus, bovine.","Commonly 2 mL subcutaneous or intramuscular; primary/booster schedules vary (often booster in 2-4 weeks, then annual), follow label.",Boehringer/Ingelheim / Merck product inserts.,"A vaccine for bovines that helps protect against bovine virus diarrhea virus (untyped); herpesvirus, bovine (ibr); respiratory syncytial virus, bovine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7267"">120120</a>",Bovine,213,"Diamond Animal Health, Inc.","Diamond Animal Health, Inc.","Bovine Virus Diarrhea Vaccine, Modified Live Virus",Bovine Virus Diarrhea Virus (Untyped),Titanium BVD,"Agri Laboratories, Ltd.",A vaccine for bovines that helps protect against bovine virus diarrhea virus (untyped).,"Commonly 2 mL subcutaneous or intramuscular; primary/booster schedules vary (often booster in 2-4 weeks, then annual), follow label.",Boehringer/Ingelheim / Merck product inserts.,A vaccine for bovines that helps protect against bovine virus diarrhea virus (untyped).
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7265"">118720</a>",Bovine,213,"Diamond Animal Health, Inc.","Diamond Animal Health, Inc.","Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Vaccine, Modified Live & Killed Virus","Bovine Virus Diarrhea Virus, Type 1; Bovine Virus Diarrhea Virus, Type 2; Herpesvirus, Bovine (IBR); Parainfluenza 3 Virus, Bovine; Respiratory Syncytial Virus, Bovine",Master Guard 5,Elanco Animal Health,"A vaccine for bovines that helps protect against bovine virus diarrhea virus, type 1; bovine virus diarrhea virus, type 2; herpesvirus, bovine (ibr); parainfluenza 3 virus, bovine; respiratory syncytial virus, bovine.","Commonly 2 mL subcutaneous or intramuscular; primary/booster schedules vary (often booster in 2-4 weeks, then annual), follow label.",Boehringer/Ingelheim / Merck product inserts.,"A vaccine for bovines that helps protect against bovine virus diarrhea virus, type 1; bovine virus diarrhea virus, type 2; herpesvirus, bovine (ibr); parainfluenza 3 virus, bovine; respiratory syncytial virus, bovine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7263"">117120</a>",Bovine,213,"Diamond Animal Health, Inc.","Diamond Animal Health, Inc.","Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Vaccine, Modified Live Virus","Bovine Virus Diarrhea Virus (Untyped); Herpesvirus, Bovine (IBR); Parainfluenza 3 Virus, Bovine",No trade name assigned,No distributor specified,"A vaccine for bovines that helps protect against bovine virus diarrhea virus (untyped); herpesvirus, bovine (ibr); parainfluenza 3 virus, bovine.","Commonly 2 mL subcutaneous or intramuscular; primary/booster schedules vary (often booster in 2-4 weeks, then annual), follow label.",Boehringer/Ingelheim / Merck product inserts.,"A vaccine for bovines that helps protect against bovine virus diarrhea virus (untyped); herpesvirus, bovine (ibr); parainfluenza 3 virus, bovine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7262"">269100</a>",Bovine; Swine,213,"Diamond Animal Health, Inc.","Diamond Animal Health, Inc.",Leptospira Pomona Bacterin,Leptospira pomona,Lepto P,"Elanco US, Inc.",A bacterin for bovine; swines that provides immunity against leptospira pomona.,Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,A bacterin for bovine; swines that provides immunity against leptospira pomona.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7261"">15P5R0</a>",Canine,165A,Intervet Inc.,Merck Animal Health,"Canine Influenza Vaccine, H3, RNA Particle","Influenza Virus, Canine, H3",No trade name assigned,No distributor specified,"A vaccine for canines that helps protect against influenza virus, canine, h3.",Administer 1 mL subcutaneously. Primary immunization: 2 doses 3-4 weeks apart; boosters per label/manufacturer.,"Merck/Zoetis product inserts (e.g., Vanguard, Nobivac).","A vaccine for canines that helps protect against influenza virus, canine, h3."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7260"">2126R3</a>",Mouse,650,"US Biologic, Inc.",Not Applicable,Borrelia Burgdorferi Bacterin,Borrelia burgdorferi,No trade name assigned,No distributor specified,A bacterin for mouses that provides immunity against borrelia burgdorferi.,Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,A bacterin for mouses that provides immunity against borrelia burgdorferi.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7259"">790502</a>",Bovine,315,"American Animal Health, Inc.",Not Applicable,Mannheimia Haemolytica Bacterin-Toxoid,Mannheimia (Pasteurella) haemolytica,LeukoTox-MH,No distributor specified,A bacterin for bovines that provides immunity against mannheimia (pasteurella) haemolytica.,"Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).",A bacterin for bovines that provides immunity against mannheimia (pasteurella) haemolytica.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7247"">1J81R0</a>",Chicken,165A,Intervet Inc.,Not Applicable,"Bursal Disease-Infectious Laryngotracheitis-Marek's Disease Vaccine, Serotype 3, Live Marek's Disease Vector","Bursal Disease (Birnavirus, Avian); Herpesvirus, Chicken (Laryngotracheitis); Herpesvirus, Turkey [Mareks, Serotype 3]",No trade name assigned,No distributor specified,"A vaccine for chickens that helps protect against bursal disease (birnavirus, avian); herpesvirus, chicken (laryngotracheitis); herpesvirus, turkey [mareks, serotype 3].",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for chickens that helps protect against bursal disease (birnavirus, avian); herpesvirus, chicken (laryngotracheitis); herpesvirus, turkey [mareks, serotype 3]."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7246"">9PP0R2</a>",Bovine; Swine,474,Medgene Labs,Not Applicable,"Prescription Product, Killed Baculovirus Vector",No Agent,No trade name assigned,No distributor specified,This product is used in bovine; swines to help prevent or protect against diseases caused by no agent.,Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,This product is used in bovine; swines to help prevent or protect against diseases caused by no agent.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7245"">1R00R0</a>",Rabbit,474,Medgene Labs,Not Applicable,"Rabbit Hemorrhagic Disease Vaccine, Serotype 2, Killed Baculovirus Vector","Calicivirus, Rabbit (Rabbit Hemorrhagic Disease)",No trade name assigned,No distributor specified,"A vaccine for rabbits that helps protect against calicivirus, rabbit (rabbit hemorrhagic disease).",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for rabbits that helps protect against calicivirus, rabbit (rabbit hemorrhagic disease)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7244"">2A7700</a>",Bovine,355,"Addison Biological Laboratory, Inc.",Not Applicable,Moraxella Bovoculi Bacterin,Moraxella bovoculi,No trade name assigned,No distributor specified,A bacterin for bovines that provides immunity against moraxella bovoculi.,Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,A bacterin for bovines that provides immunity against moraxella bovoculi.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7242"">153120</a>",Equine,190,Zoetis Inc.,Not Applicable,"Equine Arteritis Vaccine, Modified Live Virus","Togavirus, Equine (EVA)",Arvac,No distributor specified,"A vaccine for equines that helps protect against togavirus, equine (eva).",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for equines that helps protect against togavirus, equine (eva)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7243"">48W525</a>",Equine,190,Zoetis Inc.,Not Applicable,"Encephalomyelitis-West Nile Virus Vaccine, Eastern & Western & Venezuelan, Killed Virus, Tetanus Toxoid","Clostridium tetani; Encephalomyelitis Virus, Eastern Equine; Encephalomyelitis Virus, Equine, Venezuelan; Encephalomyelitis Virus, Equine, Western; West Nile Virus",West Nile Innovator + VEWT,No distributor specified,"A vaccine for equines that helps protect against clostridium tetani; encephalomyelitis virus, eastern equine; encephalomyelitis virus, equine, venezuelan; encephalomyelitis virus, equine, western; west nile virus.","Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).","A vaccine for equines that helps protect against clostridium tetani; encephalomyelitis virus, eastern equine; encephalomyelitis virus, equine, venezuelan; encephalomyelitis virus, equine, western; west nile virus."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7240"">155103</a>",Swine,337,"ARKO Laboratories, Ltd.",Not Applicable,"Escherichia Coli Vaccine, Avirulent Live Culture",Escherichia coli (Non-J5),No trade name assigned,No distributor specified,A vaccine for swines that helps protect against escherichia coli (non-j5).,Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,A vaccine for swines that helps protect against escherichia coli (non-j5).
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7241"">15R101</a>",Swine,337,"ARKO Laboratories, Ltd.",Not Applicable,"Escherichia Coli Vaccine, Avirulent Live Culture",Escherichia coli (Non-J5),No trade name assigned,No distributor specified,A vaccine for swines that helps protect against escherichia coli (non-j5).,Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,A vaccine for swines that helps protect against escherichia coli (non-j5).
